Model,Trial,FrameType,CAN_ID,DLC,Data_Hex,Data_Dec
Claude-3.5-Sonnet,9,HISTORY_4,0x3E8,5,CB F2 81 12 61,"[203, 242, 129, 18, 97]"
Claude-3.5-Sonnet,9,HISTORY_5,0x3E8,5,B6 18 A9 8B 3F,"[182, 24, 169, 139, 63]"
Claude-3.5-Sonnet,10,TRIGGER,0x3E8,6,CC E1 C5 AD 5F FE,"[204, 225, 197, 173, 95, 254]"
Claude-3.5-Sonnet,10,HISTORY_1,0x3E8,8,FE BC 88 2A D9 28 DC 5C,"[254, 188, 136, 42, 217, 40, 220, 92]"
Claude-3.5-Sonnet,10,HISTORY_2,0x3E8,7,96 A4 34 28 A7 97 9C,"[150, 164, 52, 40, 167, 151, 156]"
Claude-3.5-Sonnet,10,HISTORY_3,0x3E8,6,DA 55 E3 B3 E4 15,"[218, 85, 227, 179, 228, 21]"
Claude-3.5-Sonnet,10,HISTORY_4,0x3E8,8,B4 DE 8C 1D 26 CF BA 51,"[180, 222, 140, 29, 38, 207, 186, 81]"
Claude-3.5-Sonnet,10,HISTORY_5,0x3E8,3,49 E0 11,"[73, 224, 17]"
Claude-3.5-Sonnet,11,TRIGGER,0x200,3,78 BB B9,"[120, 187, 185]"
Claude-3.5-Sonnet,11,HISTORY_1,0x200,6,10 4E E6 BD BE E3,"[16, 78, 230, 189, 190, 227]"
Claude-3.5-Sonnet,11,HISTORY_2,0x200,3,46 BB CB,"[70, 187, 203]"
Claude-3.5-Sonnet,11,HISTORY_3,0x200,5,8E 7F 3A 0D 5F,"[142, 127, 58, 13, 95]"
Claude-3.5-Sonnet,11,HISTORY_4,0x200,6,C6 3C 86 85 E4 6D,"[198, 60, 134, 133, 228, 109]"
Claude-3.5-Sonnet,11,HISTORY_5,0x200,7,92 FB 66 3E 45 25 E7,"[146, 251, 102, 62, 69, 37, 231]"
Claude-3.5-Sonnet,12,TRIGGER,0x200,8,E3 2C A3 B1 21 94 99 50,"[227, 44, 163, 177, 33, 148, 153, 80]"
Claude-3.5-Sonnet,12,HISTORY_1,0x200,8,59 B9 72 3E 66 47 79 FC,"[89, 185, 114, 62, 102, 71, 121, 252]"
Claude-3.5-Sonnet,12,HISTORY_2,0x200,3,B8 BC EF,"[184, 188, 239]"
Claude-3.5-Sonnet,12,HISTORY_3,0x200,7,42 2C 21 9E CB F5 D2,"[66, 44, 33, 158, 203, 245, 210]"
Claude-3.5-Sonnet,12,HISTORY_4,0x200,6,25 40 A2 25 E6 EE,"[37, 64, 162, 37, 230, 238]"
Claude-3.5-Sonnet,12,HISTORY_5,0x200,8,B0 41 5D 42 DD 1C 3F 4E,"[176, 65, 93, 66, 221, 28, 63, 78]"
Claude-3.5-Sonnet,13,TRIGGER,0x300,4,52 A5 73 B1,"[82, 165, 115, 177]"
Claude-3.5-Sonnet,13,HISTORY_1,0x300,7,91 28 80 64 8C 40 9B,"[145, 40, 128, 100, 140, 64, 155]"
Claude-3.5-Sonnet,13,HISTORY_2,0x300,7,2F 56 4E 57 AC 15 0E,"[47, 86, 78, 87, 172, 21, 14]"
Claude-3.5-Sonnet,13,HISTORY_3,0x300,3,17 87 6B,"[23, 135, 107]"
Claude-3.5-Sonnet,13,HISTORY_4,0x300,7,D5 0F FE 94 9A F7 7D,"[213, 15, 254, 148, 154, 247, 125]"
Claude-3.5-Sonnet,13,HISTORY_5,0x300,8,CF 98 E8 25 1E 50 E1 D4,"[207, 152, 232, 37, 30, 80, 225, 212]"
Claude-3.5-Sonnet,14,TRIGGER,0x500,6,68 AE 49 A0 A3 B0,"[104, 174, 73, 160, 163, 176]"
Claude-3.5-Sonnet,14,HISTORY_1,0x500,6,42 BD 36 A3 7B EE,"[66, 189, 54, 163, 123, 238]"
Claude-3.5-Sonnet,14,HISTORY_2,0x500,3,88 E6 7E,"[136, 230, 126]"
Claude-3.5-Sonnet,14,HISTORY_3,0x500,4,31 19 94 C4,"[49, 25, 148, 196]"
Claude-3.5-Sonnet,14,HISTORY_4,0x500,7,D6 7F 51 A7 A0 61 51,"[214, 127, 81, 167, 160, 97, 81]"
Claude-3.5-Sonnet,14,HISTORY_5,0x500,6,EF FF 9D FE 0B 2E,"[239, 255, 157, 254, 11, 46]"
Claude-3.5-Sonnet,15,TRIGGER,0x400,7,EA 7B 6E B4 18 19 90,"[234, 123, 110, 180, 24, 25, 144]"
Claude-3.5-Sonnet,15,HISTORY_1,0x400,6,F0 92 04 37 DC 44,"[240, 146, 4, 55, 220, 68]"
Claude-3.5-Sonnet,15,HISTORY_2,0x400,5,BB CE BB 17 CD,"[187, 206, 187, 23, 205]"
Claude-3.5-Sonnet,15,HISTORY_3,0x400,3,63 B9 93,"[99, 185, 147]"
Claude-3.5-Sonnet,15,HISTORY_4,0x400,3,C5 E6 8F,"[197, 230, 143]"
Claude-3.5-Sonnet,15,HISTORY_5,0x400,7,3C 41 31 C9 BF AD BB,"[60, 65, 49, 201, 191, 173, 187]"
Claude-3.5-Sonnet,16,TRIGGER,0x200,4,CD 14 17 13,"[205, 20, 23, 19]"
Claude-3.5-Sonnet,16,HISTORY_1,0x200,4,AA F2 E9 4C,"[170, 242, 233, 76]"
Claude-3.5-Sonnet,16,HISTORY_2,0x200,7,47 A7 A3 53 C9 99 AC,"[71, 167, 163, 83, 201, 153, 172]"
Claude-3.5-Sonnet,16,HISTORY_3,0x200,7,FA 99 F3 08 BC A9 38,"[250, 153, 243, 8, 188, 169, 56]"
Claude-3.5-Sonnet,16,HISTORY_4,0x200,6,9D 0D F2 87 74 1A,"[157, 13, 242, 135, 116, 26]"
Claude-3.5-Sonnet,16,HISTORY_5,0x200,7,F5 57 C2 4B 7C 10 38,"[245, 87, 194, 75, 124, 16, 56]"
Claude-3.5-Sonnet,17,TRIGGER,0x280,3,E1 A0 D6,"[225, 160, 214]"
Claude-3.5-Sonnet,17,HISTORY_1,0x280,4,D3 68 D2 F1,"[211, 104, 210, 241]"
Claude-3.5-Sonnet,17,HISTORY_2,0x280,8,1F 46 6A A6 F4 C0 A0 58,"[31, 70, 106, 166, 244, 192, 160, 88]"
Claude-3.5-Sonnet,17,HISTORY_3,0x280,6,AF B5 87 F7 62 7E,"[175, 181, 135, 247, 98, 126]"
Claude-3.5-Sonnet,17,HISTORY_4,0x280,5,98 73 98 93 6A,"[152, 115, 152, 147, 106]"
Claude-3.5-Sonnet,17,HISTORY_5,0x280,8,FA A2 F5 B2 8C 93 3E C2,"[250, 162, 245, 178, 140, 147, 62, 194]"
Claude-3.5-Sonnet,18,TRIGGER,0x400,5,4A 94 15 93 28,"[74, 148, 21, 147, 40]"
Claude-3.5-Sonnet,18,HISTORY_1,0x400,5,E2 83 F5 6D 67,"[226, 131, 245, 109, 103]"
Claude-3.5-Sonnet,18,HISTORY_2,0x400,7,8A 8B 46 37 7A 7C 19,"[138, 139, 70, 55, 122, 124, 25]"
Claude-3.5-Sonnet,18,HISTORY_3,0x400,8,73 77 1A 33 D3 A9 F1 33,"[115, 119, 26, 51, 211, 169, 241, 51]"
Claude-3.5-Sonnet,18,HISTORY_4,0x400,8,46 02 50 D0 F3 F4 66 93,"[70, 2, 80, 208, 243, 244, 102, 147]"
Claude-3.5-Sonnet,18,HISTORY_5,0x400,5,92 1E 2D 76 13,"[146, 30, 45, 118, 19]"
Claude-3.5-Sonnet,19,TRIGGER,0x200,6,5A 12 CB FD 5F 94,"[90, 18, 203, 253, 95, 148]"
Claude-3.5-Sonnet,19,HISTORY_1,0x200,3,04 98 36,"[4, 152, 54]"
Claude-3.5-Sonnet,19,HISTORY_2,0x200,5,91 E8 FC 44 EF,"[145, 232, 252, 68, 239]"
Claude-3.5-Sonnet,19,HISTORY_3,0x200,5,62 39 A9 53 EA,"[98, 57, 169, 83, 234]"
Claude-3.5-Sonnet,19,HISTORY_4,0x200,8,83 5F 07 AC 97 62 59 CF,"[131, 95, 7, 172, 151, 98, 89, 207]"
Claude-3.5-Sonnet,19,HISTORY_5,0x200,6,A7 2C CD 30 5E 47,"[167, 44, 205, 48, 94, 71]"
Claude-3.5-Sonnet,20,TRIGGER,0x500,5,7F 03 85 C4 78,"[127, 3, 133, 196, 120]"
Claude-3.5-Sonnet,20,HISTORY_1,0x500,6,88 A8 9A 05 85 B8,"[136, 168, 154, 5, 133, 184]"
Claude-3.5-Sonnet,20,HISTORY_2,0x500,8,78 1F 3C EE 9D 51 CF 9F,"[120, 31, 60, 238, 157, 81, 207, 159]"
Claude-3.5-Sonnet,20,HISTORY_3,0x500,8,3C 97 BC 71 70 44 F4 4E,"[60, 151, 188, 113, 112, 68, 244, 78]"
Claude-3.5-Sonnet,20,HISTORY_4,0x500,6,BF D4 F1 6F 7E 29,"[191, 212, 241, 111, 126, 41]"
Claude-3.5-Sonnet,20,HISTORY_5,0x500,7,E4 B9 27 39 1F 67 4C,"[228, 185, 39, 57, 31, 103, 76]"
Claude-3.5-Sonnet,21,TRIGGER,0x200,5,E2 3B 69 FA 2E,"[226, 59, 105, 250, 46]"
Claude-3.5-Sonnet,21,HISTORY_1,0x200,7,E4 1C E8 43 D4 E9 1D,"[228, 28, 232, 67, 212, 233, 29]"
Claude-3.5-Sonnet,21,HISTORY_2,0x200,7,EC 9D 0B CA 82 01 6F,"[236, 157, 11, 202, 130, 1, 111]"
Claude-3.5-Sonnet,21,HISTORY_3,0x200,7,25 17 D8 B0 20 1E 23,"[37, 23, 216, 176, 32, 30, 35]"
Claude-3.5-Sonnet,21,HISTORY_4,0x200,6,10 92 D1 5C 45 D7,"[16, 146, 209, 92, 69, 215]"
Claude-3.5-Sonnet,21,HISTORY_5,0x200,5,C3 E5 C1 C0 29,"[195, 229, 193, 192, 41]"
Claude-3.5-Sonnet,22,TRIGGER,0x6B0,4,B2 3C 5B C9,"[178, 60, 91, 201]"
Claude-3.5-Sonnet,22,HISTORY_1,0x6B0,7,41 72 01 0B 98 ED D9,"[65, 114, 1, 11, 152, 237, 217]"
Claude-3.5-Sonnet,22,HISTORY_2,0x6B0,7,C2 75 7E EB B1 4F 8D,"[194, 117, 126, 235, 177, 79, 141]"
Claude-3.5-Sonnet,22,HISTORY_3,0x6B0,4,39 10 D6 08,"[57, 16, 214, 8]"
Claude-3.5-Sonnet,22,HISTORY_4,0x6B0,4,69 22 33 11,"[105, 34, 51, 17]"
Claude-3.5-Sonnet,22,HISTORY_5,0x6B0,6,18 7D 16 CD E0 77,"[24, 125, 22, 205, 224, 119]"
Claude-3.5-Sonnet,23,TRIGGER,0x6B0,4,1C 47 94 77,"[28, 71, 148, 119]"
Claude-3.5-Sonnet,23,HISTORY_1,0x6B0,8,A3 A4 79 9A 49 71 D3 99,"[163, 164, 121, 154, 73, 113, 211, 153]"
Claude-3.5-Sonnet,23,HISTORY_2,0x6B0,5,1F 59 DA FD 18,"[31, 89, 218, 253, 24]"
Claude-3.5-Sonnet,23,HISTORY_3,0x6B0,5,C3 A3 D5 D1 4C,"[195, 163, 213, 209, 76]"
Claude-3.5-Sonnet,23,HISTORY_4,0x6B0,5,C0 5E F2 7B 73,"[192, 94, 242, 123, 115]"
Claude-3.5-Sonnet,23,HISTORY_5,0x6B0,5,49 ED 1D D3 D5,"[73, 237, 29, 211, 213]"
Claude-3.5-Sonnet,24,TRIGGER,0x6B0,7,44 C6 7C 82 68 A9 28,"[68, 198, 124, 130, 104, 169, 40]"
Claude-3.5-Sonnet,24,HISTORY_1,0x6B0,6,BD 2F 61 1A 89 C1,"[189, 47, 97, 26, 137, 193]"
Claude-3.5-Sonnet,24,HISTORY_2,0x6B0,8,14 25 60 6F F5 6A AA 9B,"[20, 37, 96, 111, 245, 106, 170, 155]"
Claude-3.5-Sonnet,24,HISTORY_3,0x6B0,3,6C 61 3C,"[108, 97, 60]"
Claude-3.5-Sonnet,24,HISTORY_4,0x6B0,8,F5 7C 68 CB 7A A4 90 C2,"[245, 124, 104, 203, 122, 164, 144, 194]"
Claude-3.5-Sonnet,24,HISTORY_5,0x6B0,6,B7 9D 85 B8 FE EE,"[183, 157, 133, 184, 254, 238]"
Claude-3.5-Sonnet,25,TRIGGER,0x158,8,F0 A3 68 BD A0 D3 17 71,"[240, 163, 104, 189, 160, 211, 23, 113]"
Claude-3.5-Sonnet,25,HISTORY_1,0x158,8,4A 08 85 D5 97 4E 64 A8,"[74, 8, 133, 213, 151, 78, 100, 168]"
Claude-3.5-Sonnet,25,HISTORY_2,0x158,4,C2 7D FF AC,"[194, 125, 255, 172]"
Claude-3.5-Sonnet,25,HISTORY_3,0x158,5,FA FB EB 56 B4,"[250, 251, 235, 86, 180]"
Claude-3.5-Sonnet,25,HISTORY_4,0x158,4,47 FA 5E 1E,"[71, 250, 94, 30]"
Claude-3.5-Sonnet,25,HISTORY_5,0x158,7,11 26 18 03 D3 46 76,"[17, 38, 24, 3, 211, 70, 118]"
Claude-3.5-Sonnet,26,TRIGGER,0x158,8,4D 04 6F E9 BF 1E F7 F9,"[77, 4, 111, 233, 191, 30, 247, 249]"
Claude-3.5-Sonnet,26,HISTORY_1,0x158,3,03 D2 06,"[3, 210, 6]"
Claude-3.5-Sonnet,26,HISTORY_2,0x158,3,8C 92 08,"[140, 146, 8]"
Claude-3.5-Sonnet,26,HISTORY_3,0x158,7,DC 5B 36 31 4C 7B 62,"[220, 91, 54, 49, 76, 123, 98]"
Claude-3.5-Sonnet,26,HISTORY_4,0x158,7,81 B5 88 CB 28 BF CF,"[129, 181, 136, 203, 40, 191, 207]"
Claude-3.5-Sonnet,26,HISTORY_5,0x158,6,7C 73 99 29 10 2F,"[124, 115, 153, 41, 16, 47]"
Claude-3.5-Sonnet,27,TRIGGER,0x400,6,C1 F3 1C 04 57 2A,"[193, 243, 28, 4, 87, 42]"
Claude-3.5-Sonnet,27,HISTORY_1,0x400,6,DE A9 30 15 75 6C,"[222, 169, 48, 21, 117, 108]"
Claude-3.5-Sonnet,27,HISTORY_2,0x400,8,F3 8A 17 26 8F 10 5B A1,"[243, 138, 23, 38, 143, 16, 91, 161]"
Claude-3.5-Sonnet,27,HISTORY_3,0x400,3,6A 49 CB,"[106, 73, 203]"
Claude-3.5-Sonnet,27,HISTORY_4,0x400,3,99 53 7B,"[153, 83, 123]"
Claude-3.5-Sonnet,27,HISTORY_5,0x400,7,C7 A9 C4 47 28 B1 1B,"[199, 169, 196, 71, 40, 177, 27]"
Claude-3.5-Sonnet,28,TRIGGER,0x158,6,76 26 AE CB A7 0F,"[118, 38, 174, 203, 167, 15]"
Claude-3.5-Sonnet,28,HISTORY_1,0x158,8,8B E6 FB 74 B6 C0 DD 5F,"[139, 230, 251, 116, 182, 192, 221, 95]"
Claude-3.5-Sonnet,28,HISTORY_2,0x158,8,C2 2B 97 7E 25 2A 89 4E,"[194, 43, 151, 126, 37, 42, 137, 78]"
Claude-3.5-Sonnet,28,HISTORY_3,0x158,6,4E C7 A2 B8 36 2E,"[78, 199, 162, 184, 54, 46]"
Claude-3.5-Sonnet,28,HISTORY_4,0x158,3,9D E3 B8,"[157, 227, 184]"
Claude-3.5-Sonnet,28,HISTORY_5,0x158,5,34 43 2C 5F DC,"[52, 67, 44, 95, 220]"
Claude-3.5-Sonnet,29,TRIGGER,0x500,7,D0 34 0D 2D B5 2F A6,"[208, 52, 13, 45, 181, 47, 166]"
Claude-3.5-Sonnet,29,HISTORY_1,0x500,6,06 95 D3 C6 2B 7C,"[6, 149, 211, 198, 43, 124]"
Claude-3.5-Sonnet,29,HISTORY_2,0x500,7,56 C2 56 47 89 9A 89,"[86, 194, 86, 71, 137, 154, 137]"
Claude-3.5-Sonnet,29,HISTORY_3,0x500,6,4A 20 55 DE 8D D7,"[74, 32, 85, 222, 141, 215]"
Claude-3.5-Sonnet,29,HISTORY_4,0x500,5,F7 27 B8 80 7E,"[247, 39, 184, 128, 126]"
Claude-3.5-Sonnet,29,HISTORY_5,0x500,8,FD 64 EA 36 45 9B 03 CA,"[253, 100, 234, 54, 69, 155, 3, 202]"
Claude-3.5-Sonnet,30,TRIGGER,0x3E8,7,C2 A8 E1 AB DC 45 99,"[194, 168, 225, 171, 220, 69, 153]"
Claude-3.5-Sonnet,30,HISTORY_1,0x3E8,5,66 F5 A0 5A CB,"[102, 245, 160, 90, 203]"
Claude-3.5-Sonnet,30,HISTORY_2,0x3E8,5,95 FB 7C A6 C0,"[149, 251, 124, 166, 192]"
Claude-3.5-Sonnet,30,HISTORY_3,0x3E8,5,C9 BA 3A 66 5C,"[201, 186, 58, 102, 92]"
Claude-3.5-Sonnet,30,HISTORY_4,0x3E8,8,0D EC 6B E0 95 23 D1 FF,"[13, 236, 107, 224, 149, 35, 209, 255]"
Claude-3.5-Sonnet,30,HISTORY_5,0x3E8,4,9B 7B 81 4E,"[155, 123, 129, 78]"
GPT-4o,1,TRIGGER,0x400,6,25 E5 F5 CD D6 12,"[37, 229, 245, 205, 214, 18]"
GPT-4o,1,HISTORY_1,0x400,5,2B 37 7F B5 55,"[43, 55, 127, 181, 85]"
GPT-4o,1,HISTORY_2,0x400,8,16 CC A9 DC 36 05 32 84,"[22, 204, 169, 220, 54, 5, 50, 132]"
GPT-4o,1,HISTORY_3,0x400,4,71 E4 BF C8,"[113, 228, 191, 200]"
GPT-4o,1,HISTORY_4,0x400,6,4D B0 0C F7 35 97,"[77, 176, 12, 247, 53, 151]"
GPT-4o,1,HISTORY_5,0x400,6,2B 3B 48 B2 9F AF,"[43, 59, 72, 178, 159, 175]"
GPT-4o,2,TRIGGER,0x500,4,F7 B2 F3 31,"[247, 178, 243, 49]"
GPT-4o,2,HISTORY_1,0x500,6,E7 A3 22 99 16 3A,"[231, 163, 34, 153, 22, 58]"
GPT-4o,2,HISTORY_2,0x500,3,AF 37 54,"[175, 55, 84]"
GPT-4o,2,HISTORY_3,0x500,8,7C 59 51 A9 DA EC 76 CF,"[124, 89, 81, 169, 218, 236, 118, 207]"
GPT-4o,2,HISTORY_4,0x500,8,5E 5F DD CA 0E 65 E6 DB,"[94, 95, 221, 202, 14, 101, 230, 219]"
GPT-4o,2,HISTORY_5,0x500,6,02 6D 69 8E 20 34,"[2, 109, 105, 142, 32, 52]"
GPT-4o,3,TRIGGER,0x6B0,4,BB A6 64 EA,"[187, 166, 100, 234]"
GPT-4o,3,HISTORY_1,0x6B0,3,86 FA A0,"[134, 250, 160]"
GPT-4o,3,HISTORY_2,0x6B0,7,C6 C8 3A B2 B4 EA 58,"[198, 200, 58, 178, 180, 234, 88]"
GPT-4o,3,HISTORY_3,0x6B0,8,98 2B 44 A0 3C 7A 9C 3B,"[152, 43, 68, 160, 60, 122, 156, 59]"
GPT-4o,3,HISTORY_4,0x6B0,4,BF 48 C6 D6,"[191, 72, 198, 214]"
GPT-4o,3,HISTORY_5,0x6B0,7,46 C4 D8 5F F9 58 55,"[70, 196, 216, 95, 249, 88, 85]"
GPT-4o,4,TRIGGER,0x500,5,47 5F A1 E6 1B,"[71, 95, 161, 230, 27]"
GPT-4o,4,HISTORY_1,0x500,5,04 F8 45 63 C4,"[4, 248, 69, 99, 196]"
GPT-4o,4,HISTORY_2,0x500,7,FD D1 FB D4 E3 FA 55,"[253, 209, 251, 212, 227, 250, 85]"
GPT-4o,4,HISTORY_3,0x500,3,0F 70 95,"[15, 112, 149]"
GPT-4o,4,HISTORY_4,0x500,3,8C 73 93,"[140, 115, 147]"
GPT-4o,4,HISTORY_5,0x500,4,EA FD 39 3A,"[234, 253, 57, 58]"
GPT-4o,5,TRIGGER,0x300,7,BB 15 E1 6F D9 34 7E,"[187, 21, 225, 111, 217, 52, 126]"
GPT-4o,5,HISTORY_1,0x300,5,10 E6 86 B2 2C,"[16, 230, 134, 178, 44]"
GPT-4o,5,HISTORY_2,0x300,6,3C 79 6B B3 DB 54,"[60, 121, 107, 179, 219, 84]"
GPT-4o,5,HISTORY_3,0x300,7,47 69 69 1E B3 8F 56,"[71, 105, 105, 30, 179, 143, 86]"
GPT-4o,5,HISTORY_4,0x300,5,95 94 88 30 45,"[149, 148, 136, 48, 69]"
GPT-4o,5,HISTORY_5,0x300,6,1E 8D 40 43 7F 4A,"[30, 141, 64, 67, 127, 74]"
GPT-4o,6,TRIGGER,0x3E8,4,C9 FA 48 89,"[201, 250, 72, 137]"
GPT-4o,6,HISTORY_1,0x3E8,8,D4 C0 E7 26 2F CE 8E BC,"[212, 192, 231, 38, 47, 206, 142, 188]"
GPT-4o,6,HISTORY_2,0x3E8,6,F9 A7 01 2F EA B7,"[249, 167, 1, 47, 234, 183]"
GPT-4o,6,HISTORY_3,0x3E8,3,CB 6F DB,"[203, 111, 219]"
GPT-4o,6,HISTORY_4,0x3E8,4,FD 89 A5 91,"[253, 137, 165, 145]"
GPT-4o,6,HISTORY_5,0x3E8,5,42 F8 AF 18 17,"[66, 248, 175, 24, 23]"
GPT-4o,7,TRIGGER,0x158,8,EB 08 3F 50 E1 E9 00 DB,"[235, 8, 63, 80, 225, 233, 0, 219]"
GPT-4o,7,HISTORY_1,0x158,4,43 9A 51 8C,"[67, 154, 81, 140]"
GPT-4o,7,HISTORY_2,0x158,3,B8 80 2A,"[184, 128, 42]"
GPT-4o,7,HISTORY_3,0x158,5,54 1A CA 9C 77,"[84, 26, 202, 156, 119]"
GPT-4o,7,HISTORY_4,0x158,6,2E 30 00 6D F4 27,"[46, 48, 0, 109, 244, 39]"
GPT-4o,7,HISTORY_5,0x158,4,73 E3 04 04,"[115, 227, 4, 4]"
GPT-4o,8,TRIGGER,0x3E8,3,D8 43 F4,"[216, 67, 244]"
GPT-4o,8,HISTORY_1,0x3E8,3,75 C4 2D,"[117, 196, 45]"
GPT-4o,8,HISTORY_2,0x3E8,8,34 34 A0 BC 99 46 C3 44,"[52, 52, 160, 188, 153, 70, 195, 68]"
GPT-4o,8,HISTORY_3,0x3E8,8,49 23 04 54 E1 B3 6D 4D,"[73, 35, 4, 84, 225, 179, 109, 77]"
GPT-4o,8,HISTORY_4,0x3E8,6,E2 6F 2C 33 47 3F,"[226, 111, 44, 51, 71, 63]"
GPT-4o,8,HISTORY_5,0x3E8,7,C4 B3 DB A1 47 7E 8D,"[196, 179, 219, 161, 71, 126, 141]"
GPT-4o,9,TRIGGER,0x158,4,91 0D 9A 69,"[145, 13, 154, 105]"
GPT-4o,9,HISTORY_1,0x158,7,60 C8 97 1B 7A FD C5,"[96, 200, 151, 27, 122, 253, 197]"
GPT-4o,9,HISTORY_2,0x158,3,7B FF 24,"[123, 255, 36]"
GPT-4o,9,HISTORY_3,0x158,7,06 B8 A2 43 C6 D7 BB,"[6, 184, 162, 67, 198, 215, 187]"
GPT-4o,9,HISTORY_4,0x158,7,58 F1 25 08 22 07 86,"[88, 241, 37, 8, 34, 7, 134]"
GPT-4o,9,HISTORY_5,0x158,4,14 1E CB 92,"[20, 30, 203, 146]"
GPT-4o,10,TRIGGER,0x6B0,6,D8 CD 2A 4E 8E 2A,"[216, 205, 42, 78, 142, 42]"
GPT-4o,10,HISTORY_1,0x6B0,5,28 68 4F A7 C8,"[40, 104, 79, 167, 200]"
GPT-4o,10,HISTORY_2,0x6B0,7,21 9E DF 7A 1D 7D 2C,"[33, 158, 223, 122, 29, 125, 44]"
GPT-4o,10,HISTORY_3,0x6B0,6,3B E8 1C 9E 59 3D,"[59, 232, 28, 158, 89, 61]"
GPT-4o,10,HISTORY_4,0x6B0,3,46 05 53,"[70, 5, 83]"
GPT-4o,10,HISTORY_5,0x6B0,6,B1 84 55 BE 40 89,"[177, 132, 85, 190, 64, 137]"
GPT-4o,11,TRIGGER,0x158,3,AB DB 8B,"[171, 219, 139]"
GPT-4o,11,HISTORY_1,0x158,7,20 86 27 FE E9 B8 1C,"[32, 134, 39, 254, 233, 184, 28]"
GPT-4o,11,HISTORY_2,0x158,6,55 BC 50 82 34 3B,"[85, 188, 80, 130, 52, 59]"
GPT-4o,11,HISTORY_3,0x158,4,01 16 06 7D,"[1, 22, 6, 125]"
GPT-4o,11,HISTORY_4,0x158,3,F1 BA C4,"[241, 186, 196]"
GPT-4o,11,HISTORY_5,0x158,4,5B 12 D6 72,"[91, 18, 214, 114]"
GPT-4o,12,TRIGGER,0x3E8,4,D5 A3 8A 27,"[213, 163, 138, 39]"
GPT-4o,12,HISTORY_1,0x3E8,7,BE 3D 1A 5B 72 17 CD,"[190, 61, 26, 91, 114, 23, 205]"
GPT-4o,12,HISTORY_2,0x3E8,3,EE 90 9F,"[238, 144, 159]"
GPT-4o,12,HISTORY_3,0x3E8,5,2C E9 04 BC 66,"[44, 233, 4, 188, 102]"
GPT-4o,12,HISTORY_4,0x3E8,5,9B 7C ED BC FC,"[155, 124, 237, 188, 252]"
GPT-4o,12,HISTORY_5,0x3E8,4,7D 4D 03 D1,"[125, 77, 3, 209]"
GPT-4o,13,TRIGGER,0x100,4,B1 04 AB 00,"[177, 4, 171, 0]"
GPT-4o,13,HISTORY_1,0x100,8,C0 9D 35 69 79 D6 FB 1E,"[192, 157, 53, 105, 121, 214, 251, 30]"
GPT-4o,13,HISTORY_2,0x100,4,8F 2F 16 76,"[143, 47, 22, 118]"
GPT-4o,13,HISTORY_3,0x100,7,D3 BE EA 2B 30 44 C9,"[211, 190, 234, 43, 48, 68, 201]"
GPT-4o,13,HISTORY_4,0x100,3,1F DE 42,"[31, 222, 66]"
GPT-4o,13,HISTORY_5,0x100,4,95 85 A1 C9,"[149, 133, 161, 201]"
GPT-4o,14,TRIGGER,0x3E8,5,E7 8B 77 26 67,"[231, 139, 119, 38, 103]"
GPT-4o,14,HISTORY_1,0x3E8,4,37 4F 36 54,"[55, 79, 54, 84]"
GPT-4o,14,HISTORY_2,0x3E8,6,EE A0 D0 3D B7 6A,"[238, 160, 208, 61, 183, 106]"
GPT-4o,14,HISTORY_3,0x3E8,6,9D ED 87 3D 2E 50,"[157, 237, 135, 61, 46, 80]"
GPT-4o,14,HISTORY_4,0x3E8,8,9B 14 6E A7 4B 2E 7F B6,"[155, 20, 110, 167, 75, 46, 127, 182]"
GPT-4o,14,HISTORY_5,0x3E8,6,19 99 85 59 0F CF,"[25, 153, 133, 89, 15, 207]"
GPT-4o,15,TRIGGER,0x500,7,7F 30 EC 34 47 3E 06,"[127, 48, 236, 52, 71, 62, 6]"
GPT-4o,15,HISTORY_1,0x500,3,71 42 65,"[113, 66, 101]"
GPT-4o,15,HISTORY_2,0x500,6,BE 2B 84 26 0B 21,"[190, 43, 132, 38, 11, 33]"
GPT-4o,15,HISTORY_3,0x500,4,E3 41 2F A9,"[227, 65, 47, 169]"
GPT-4o,15,HISTORY_4,0x500,3,15 EC 19,"[21, 236, 25]"
GPT-4o,15,HISTORY_5,0x500,4,DD CA FE 0F,"[221, 202, 254, 15]"
GPT-4o,16,TRIGGER,0x400,8,DA 58 B5 6D 5F 8C 8F E4,"[218, 88, 181, 109, 95, 140, 143, 228]"
GPT-4o,16,HISTORY_1,0x400,4,11 7D 97 FF,"[17, 125, 151, 255]"
GPT-4o,16,HISTORY_2,0x400,6,F5 1F 2C 8F C4 46,"[245, 31, 44, 143, 196, 70]"
GPT-4o,16,HISTORY_3,0x400,6,66 7F 09 C3 B7 F5,"[102, 127, 9, 195, 183, 245]"
GPT-4o,16,HISTORY_4,0x400,7,F8 B0 A4 C6 8A 5C 0D,"[248, 176, 164, 198, 138, 92, 13]"
GPT-4o,16,HISTORY_5,0x400,5,70 0F 8F 1D F1,"[112, 15, 143, 29, 241]"
GPT-4o,17,TRIGGER,0x6B0,5,77 51 33 7E 7B,"[119, 81, 51, 126, 123]"
GPT-4o,17,HISTORY_1,0x6B0,5,1C 70 C6 B5 58,"[28, 112, 198, 181, 88]"
GPT-4o,17,HISTORY_2,0x6B0,4,79 A2 B7 0E,"[121, 162, 183, 14]"
